Frame,20230915_CodeDev_KNHS_34A:T1,20230915_CodeDev_KNHS_34A:T10,20230915_CodeDev_KNHS_34A:Sternum,20230915_CodeDev_KNHS_34A:Rnip,20230915_CodeDev_KNHS_34A:Lnip
Frame,T1X,T1Y,T1Z,T10X,T10Y,T10Z,SternumX,SternumY,SternumZ,RnipX,RnipY,RnipZ,LnipX,LnipY,LnipZ
130,866.9717,253.9608,1447.317,846.5215,253.2363,1182.663,988.6441,257.8477,1396.429,1047.488,164.2052,1220.577,1043.427,364.1207,1227.872
131,866.9427,253.9699,1447.315,846.5107,253.2425,1182.664,988.6398,257.8666,1396.438,1047.5,164.258,1220.587,1043.396,364.1404,1227.877
132,866.938,253.9829,1447.311,846.5293,253.2459,1182.631,988.6407,257.8947,1396.442,1047.497,164.288,1220.587,1043.37,364.1676,1227.886
133,866.9381,253.9923,1447.289,846.5005,253.259,1182.622,988.7198,257.8967,1396.469,1047.52,164.3284,1220.57,1043.374,364.2163,1227.898
134,866.9486,254.0123,1447.294,846.4941,253.2716,1182.619,988.5782,257.9227,1396.373,1047.531,164.4012,1220.567,1043.394,364.2738,1227.914
135,866.9457,254.0072,1447.311,846.475,253.2861,1182.624,988.5559,257.9373,1396.366,1047.554,164.4254,1220.574,1043.409,364.3019,1227.93
136,866.9475,253.9943,1447.322,846.4683,253.3159,1182.628,988.5882,257.9044,1396.389,1047.539,164.4286,1220.566,1043.414,364.3098,1227.943
137,866.9631,253.992,1447.313,846.4673,253.319,1182.632,988.6883,257.9416,1396.469,1047.523,164.4247,1220.547,1043.409,364.3149,1227.953
138,866.9756,253.957,1447.305,846.47,253.3605,1182.652,988.674,257.9089,1396.457,1047.522,164.4032,1220.522,1043.395,364.3139,1227.948
139,866.9803,253.9381,1447.308,846.4349,253.3565,1182.671,988.628,257.9007,1396.442,1047.517,164.393,1220.511,1043.381,364.3021,1227.949
140,866.9771,253.9314,1447.321,846.4435,253.3781,1182.692,988.6728,257.8952,1396.471,1047.501,164.4182,1220.498,1043.373,364.3068,1227.929
141,866.9534,253.9063,1447.325,846.4291,253.3608,1182.693,988.6435,257.9155,1396.445,1047.526,164.4173,1220.487,1043.346,364.3206,1227.932
142,866.9605,253.9039,1447.316,846.4363,253.3662,1182.689,988.699,257.9117,1396.452,1047.533,164.4548,1220.471,1043.324,364.3255,1227.919
143,866.9392,253.8843,1447.322,846.4237,253.3546,1182.66,988.5022,257.8591,1396.347,1047.533,164.4701,1220.457,1043.303,364.3475,1227.921
144,866.9473,253.871,1447.31,846.4251,253.3649,1182.636,988.6303,257.9122,1396.417,1047.53,164.4861,1220.448,1043.284,364.3665,1227.922
145,866.9459,253.8719,1447.3,846.4563,253.3693,1182.618,988.5684,257.9369,1396.386,1047.532,164.5205,1220.438,1043.266,364.3858,1227.938
146,866.9299,253.8443,1447.309,846.4524,253.3685,1182.603,988.6996,257.8991,1396.479,1047.528,164.5292,1220.445,1043.251,364.406,1227.952
147,866.9166,253.8221,1447.307,846.4183,253.3672,1182.604,988.6913,257.9254,1396.464,1047.531,164.5519,1220.445,1043.251,364.4161,1227.968
148,866.9243,253.8355,1447.319,846.4063,253.3784,1182.593,988.4788,257.8986,1396.347,1047.556,164.5941,1220.437,1043.237,364.4487,1227.988
149,866.9431,253.84,1447.316,846.418,253.3869,1182.595,988.6719,257.963,1396.483,1047.58,164.6148,1220.439,1043.252,364.4614,1227.992
150,866.9515,253.8357,1447.316,846.3967,253.3938,1182.596,988.5219,257.9331,1396.39,1047.591,164.6674,1220.435,1043.263,364.5064,1228.006
151,866.9567,253.8399,1447.336,846.395,253.4045,1182.619,988.7109,257.9749,1396.494,1047.606,164.68,1220.425,1043.287,364.5163,1228.017
152,866.972,253.8218,1447.346,846.3974,253.4347,1182.652,988.504,257.8999,1396.378,1047.597,164.6971,1220.417,1043.306,364.5212,1228.037
153,866.9764,253.792,1447.359,846.4098,253.4414,1182.687,988.5586,257.9479,1396.43,1047.582,164.6582,1220.413,1043.308,364.5099,1228.045
154,866.983,253.7802,1447.359,846.4,253.4431,1182.709,988.5756,257.8869,1396.442,1047.592,164.6318,1220.394,1043.283,364.4933,1228.039
155,866.9624,253.7535,1447.375,846.3931,253.4601,1182.715,988.4922,257.8038,1396.391,1047.583,164.6329,1220.391,1043.275,364.4846,1228.048
156,866.965,253.7166,1447.37,846.3791,253.4633,1182.698,988.4121,257.7975,1396.324,1047.57,164.644,1220.354,1043.267,364.4901,1228.038
157,866.9603,253.6846,1447.362,846.3684,253.4463,1182.682,988.6044,257.8193,1396.439,1047.559,164.6359,1220.322,1043.234,364.4793,1228.047
158,866.9181,253.6453,1447.381,846.3478,253.4656,1182.646,988.4277,257.7606,1396.353,1047.553,164.6245,1220.331,1043.214,364.5011,1228.059
159,866.9258,253.6512,1447.377,846.3582,253.4595,1182.621,988.5615,257.826,1396.455,1047.557,164.6704,1220.338,1043.195,364.5212,1228.06
160,866.9359,253.6413,1447.367,846.3387,253.4713,1182.604,988.608,257.8596,1396.476,1047.57,164.7033,1220.331,1043.208,364.5436,1228.076
161,866.9471,253.6334,1447.369,846.3185,253.455,1182.599,988.5112,257.7978,1396.385,1047.587,164.7413,1220.315,1043.225,364.5818,1228.102
162,866.9808,253.6301,1447.378,846.3155,253.4654,1182.596,988.6527,257.8696,1396.467,1047.608,164.7813,1220.313,1043.237,364.6002,1228.115
163,867.0125,253.6272,1447.403,846.3309,253.4848,1182.599,988.6135,257.9195,1396.481,1047.621,164.7915,1220.336,1043.254,364.6229,1228.129
164,867.0284,253.6411,1447.411,846.3308,253.4815,1182.621,988.5375,257.8407,1396.454,1047.628,164.7933,1220.344,1043.253,364.6222,1228.142
165,867.0609,253.6151,1447.425,846.3111,253.4932,1182.645,988.6682,257.8865,1396.521,1047.629,164.8031,1220.334,1043.241,364.6182,1228.148
166,867.0745,253.6149,1447.46,846.3051,253.5031,1182.697,988.6433,257.8669,1396.528,1047.644,164.7981,1220.314,1043.253,364.6211,1228.164
167,867.0854,253.5858,1447.475,846.2894,253.5253,1182.756,988.6387,257.8243,1396.514,1047.631,164.7733,1220.317,1043.256,364.5849,1228.164
168,867.1068,253.5838,1447.468,846.2924,253.5275,1182.764,988.4711,257.736,1396.41,1047.62,164.7332,1220.301,1043.248,364.5627,1228.168
169,867.0959,253.542,1447.495,846.2842,253.531,1182.788,988.5797,257.7292,1396.494,1047.586,164.7009,1220.292,1043.235,364.533,1228.167
170,867.0867,253.51,1447.493,846.2769,253.5285,1182.812,988.5764,257.6822,1396.468,1047.569,164.6696,1220.267,1043.205,364.5104,1228.172
171,867.0906,253.4883,1447.501,846.2577,253.5432,1182.782,988.561,257.665,1396.458,1047.547,164.6424,1220.262,1043.191,364.5091,1228.175
